tag_code_or_release_id,brood_year,cwt_1st_mark_count,stock_location_name
"030126","1997","13114","CHICKAMIN R 101-71"
"030136","1997","11747","CHICKAMIN R 101-71"
"030146","2004","15392","UNUK R 101-75"
"030150","1997","4890","UNUK R 101-75"
"030153","1998","16698","UNUK R 101-75"
"030166","2014","8476","UNUK R 101-75"
"030167","2016","16461","UNUK R 101-75"
"030170","2017","10208","UNUK R 101-75"
"030173","2017","10313","UNUK R 101-75"
"030176","2017","14618","KETA R 101-30"
"030253","2007","15318","UNUK R 101-75"
"030258","2007","15321","UNUK R 101-75"
"030263","2009","15246","UNUK R 101-75"
"030264","2005","23233","UNUK R 101-75"
"030268","2010","13758","UNUK R 101-75"
"030272","2006","6062","UNUK R 101-75"
"030273","2006","6096","UNUK R 101-75"
"030275","2006","6090","UNUK R 101-75"
"030278","2006","6207","UNUK R 101-75"
"030280","2008","18170","UNUK R 101-75"
"030291","2016","16453","UNUK R 101-75"
"030711","2008","18003","UNUK R 101-75"
"030714","2009","15232","UNUK R 101-75"
"030721","2011","14412","UNUK R 101-75"
"030722","2012","16005","UNUK R 101-75"
"030723","2012","15271","UNUK R 101-75"
"030728","2016","16112","UNUK R 101-75"
"030730","2014","8431","KETA R 101-30"
"031615","1976","4408","UNUK R 101-75"
"031672","2012","13464","UNUK R 101-75"
"031676","2012","14984","UNUK R 101-75"
"031707","1978","1265","UNUK R 101-75"
"031803","1981","13184","UNUK R 101-75"
"031811","1982","15812","UNUK R 101-75"
"031813","1982","15721","UNUK R 101-75"
"031816","1982","4902","UNUK R 101-75"
"031818","1982","4663","UNUK R 101-75"
"031819","1982","4715","UNUK R 101-75"
"031844","1983","4809","UNUK R 101-75"
"031846","1983","4756","UNUK R 101-75"
"031847","1983","4800","UNUK R 101-75"
"031851","1983","3835","UNUK R 101-75"
"031902","1984","5180","UNUK R 101-75"
"031906","1984","4867","UNUK R 101-75"
"031919","1984","5450","UNUK R 101-75"
"031908","1984","4884","UNUK R 101-75"
"031914","1984","3900","UNUK R 101-75"
"031918","1984","4771","UNUK R 101-75"
"031929","1984","4802","UNUK R 101-75"
"031932","1984","4461","UNUK R 101-75"
"031943","1984","3736","UNUK R 101-75"
"031946","1984","3904","UNUK R 101-75"
"032018","1985","5092","UNUK R 101-75"
"032019","1985","5087","UNUK R 101-75"
"032102","1985","25409","UNUK R 101-75"
"032104","1985","12949","UNUK R 101-75"
"032119","1986","11680","UNUK R 101-75"
"032138","1988","12212","UNUK R 101-75"
"032203","1989","12396","UNUK R 101-75"
"032204","1989","12499","UNUK R 101-75"
"032211","1989","2990","UNUK R 101-75"
"032223","1990","4851","UNUK R 101-75"
"032239","1992","7474","UNUK R 101-75"
"032247","1994","14732","UNUK R 101-75"
"032265","2002","14936","UNUK R 101-75"
"032302","1997","10785","UNUK R 101-75"
"032304","1997","4265","UNUK R 101-75"
"032309","1995","6645","UNUK R 101-75"
"032310","1999","13113","UNUK R 101-75"
"033001","2013","15292","UNUK R 101-75"
"033003","2015","18216","KETA R 101-30"
"034546","2015","13730","KETA R 101-30"
"035512","2008","18314","CHICKAMIN R 101-71"
"036214","1986","23338","CHICKAMIN R 101-71"
"036218","1994","13914","CHICKAMIN R 101-71"
"036219","1986","13132","CHICKAMIN R 101-71"
"036229","1995","17036","CHICKAMIN R 101-71"
"036240","1996","7033","CHICKAMIN R 101-71"
"036258","2013","15539","UNUK R 101-75"
"036264","2010","14612","CHICKAMIN R 101-71"
"036329","1988","9668","CHICKAMIN R 101-71"
"036331","1988","4080","CHICKAMIN R 101-71"
"036901","2008","18145","UNUK R 101-75"
"036904","2009","15714","UNUK R 101-75"
"039907","2017","10016","UNUK R 101-75"
"030147","2004","14529","UNUK R 101-75"
"030148","1997","11231","UNUK R 101-75"
"030152","1998","16121","UNUK R 101-75"
"031911","1984","3858","UNUK R 101-75"
"031912","1984","3835","UNUK R 101-75"
"031920","1984","4752","UNUK R 101-75"
